3822284 DEBUG [2019-06-30 09:26:59]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/companyListPage]
3822284 DEBUG [2019-06-30 09:26:59]  Looking up handler method for path /organization/company/companyListPage
3822284 DEBUG [2019-06-30 09:26:59]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.companyListPage(java.lang.Integer,java.lang.Integer)]
3822284 DEBUG [2019-06-30 09:26:59]  Returning cached instance of singleton bean 'companyController'
3822285 DEBUG [2019-06-30 09:26:59]  Skip CORS processing: request is from same origin
3822285 DEBUG [2019-06-30 09:26:59]  Fetching JDBC Connection from DataSource
3822288 DEBUG [2019-06-30 09:26:59]  Fetching JDBC Connection from DataSource
3822291 DEBUG [2019-06-30 09:26:59]  Written [{code=0, data=PageInfo{pageNum=3, pageSize=10, size=5, startRow=21, endRow=25, total=25, pages=3, list=Page{count=true, pageNum=3, pageSize=10, startRow=20, endRow=30, total=25, pages=3, reasonable=false, pageSizeZero=false}[Company{id=21, name='21', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=22, name='22', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=23, name='23', address='1', mark='11', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=3356, name='宇宙无敌小霸王', address='32', mark='777', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=3357, name='11', address='33', mark=' 333', logictodelete=null, createtime=null}], prePage=2, nextPage=0, isFirstPage=false, isLastPage=true, hasPreviousPage=true, hasNextPage=false, navigatePages=8, navigateFirstPage=1, navigateLastPage=3, navigatepageNums=[1, 2, 3]}, count=PageInfo{pageNum=3, pageSize=10, size=5, startRow=21, endRow=25, total=25, pages=3, list=Page{count=true, pageNum=3, pageSize=10, startRow=20, endRow=30, total=25, pages=3, reasonable=false, pageSizeZero=false}[Company{id=21, name='21', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=22, name='22', address='1', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=23, name='23', address='1', mark='11', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=3356, name='宇宙无敌小霸王', address='32', mark='777', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=3357, name='11', address='33', mark=' 333', logictodelete=null, createtime=null}], prePage=2, nextPage=0, isFirstPage=false, isLastPage=true, hasPreviousPage=true, hasNextPage=false, navigatePages=8, navigateFirstPage=1, navigateLastPage=3, navigatepageNums=[1, 2, 3]}}] as "application/json" using [org.springframework.http.converter.json.MappingJackson2HttpMessageConverter@6c9f8b46]
3822291 DEBUG [2019-06-30 09:26:59]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
3822291 DEBUG [2019-06-30 09:26:59]  Successfully completed request
3822291 DEBUG [2019-06-30 09:26:59]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3825187 DEBUG [2019-06-30 09:27:02]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
3825187 DEBUG [2019-06-30 09:27:02]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/deleteACompany]
3825187 DEBUG [2019-06-30 09:27:02]  Looking up handler method for path /organization/company/deleteACompany
3825188 DEBUG [2019-06-30 09:27:02]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.updateACompany(java.lang.Integer)]
3825188 DEBUG [2019-06-30 09:27:02]  Returning cached instance of singleton bean 'companyController'
3825188 DEBUG [2019-06-30 09:27:02]  Skip CORS processing: request is from same origin
3825188 DEBUG [2019-06-30 09:27:02]  Fetching JDBC Connection from DataSource
3825253 DEBUG [2019-06-30 09:27:02]  Written [{msg=deleteOK}] as "application/json" using [org.springframework.http.converter.json.MappingJackson2HttpMessageConverter@6c9f8b46]
3825253 DEBUG [2019-06-30 09:27:02]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
3825253 DEBUG [2019-06-30 09:27:02]  Successfully completed request
3825253 DEBUG [2019-06-30 09:27:02]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3825269 DEBUG [2019-06-30 09:27:02]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
3825269 DEBUG [2019-06-30 09:27:02]  DispatcherServlet with name 'dispatcherServlet' processing POST request for [/organization/company/companyListPage]
3825269 DEBUG [2019-06-30 09:27:02]  Looking up handler method for path /organization/company/companyListPage
3825269 DEBUG [2019-06-30 09:27:02]  Returning handler method [public java.util.Map<java.lang.String, java.lang.Object> com.ehr.controller.organization.company.CompanyController.companyListPage(java.lang.Integer,java.lang.Integer)]
3825269 DEBUG [2019-06-30 09:27:02]  Returning cached instance of singleton bean 'companyController'
3825269 DEBUG [2019-06-30 09:27:02]  Skip CORS processing: request is from same origin
3825270 DEBUG [2019-06-30 09:27:02]  Fetching JDBC Connection from DataSource
3825272 DEBUG [2019-06-30 09:27:02]  Fetching JDBC Connection from DataSource
3825275 DEBUG [2019-06-30 09:27:02]  Written [{code=0, data=PageInfo{pageNum=1, pageSize=10, size=10, startRow=1, endRow=10, total=24, pages=3, list=Page{count=true, pageNum=1, pageSize=10, startRow=0, endRow=10, total=24, pages=3, reasonable=false, pageSizeZero=false}[Company{id=1, name='一', address='312321', mark='zzzz', logictodelete=null, createtime=null}, Company{id=2, name='二', address='21312', mark='null', logictodelete=1, createtime=null}, Company{id=3, name='三', address='213', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=4, name='四', address='3', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=5, name='五', address='42', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=6, name='6', address='12312', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=7, name='7暗', address='23213', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=8, name='暗', address='2', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=9, name='9', address='3', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=10, name='10暗', address='321', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=0, nextPage=2, isFirstPage=true, isLastPage=false, hasPreviousPage=false, hasNextPage=true, navigatePages=8, navigateFirstPage=1, navigateLastPage=3, navigatepageNums=[1, 2, 3]}, count=PageInfo{pageNum=1, pageSize=10, size=10, startRow=1, endRow=10, total=24, pages=3, list=Page{count=true, pageNum=1, pageSize=10, startRow=0, endRow=10, total=24, pages=3, reasonable=false, pageSizeZero=false}[Company{id=1, name='一', address='312321', mark='zzzz', logictodelete=null, createtime=null}, Company{id=2, name='二', address='21312', mark='null', logictodelete=1, createtime=null}, Company{id=3, name='三', address='213', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=4, name='四', address='3', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=5, name='五', address='42', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=6, name='6', address='12312', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=7, name='7暗', address='23213', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=8, name='暗', address='2', mark='1', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=9, name='9', address='3', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}, Company{id=10, name='10暗', address='321', mark='3', logictodelete=1, createtime=Wed Jun 19 11:08:17 CST 2019}], prePage=0, nextPage=2, isFirstPage=true, isLastPage=false, hasPreviousPage=false, hasNextPage=true, navigatePages=8, navigateFirstPage=1, navigateLastPage=3, navigatepageNums=[1, 2, 3]}}] as "application/json" using [org.springframework.http.converter.json.MappingJackson2HttpMessageConverter@6c9f8b46]
3825275 DEBUG [2019-06-30 09:27:02]  Null ModelAndView returned to DispatcherServlet with name 'dispatcherServlet': assuming HandlerAdapter completed request handling
3825275 DEBUG [2019-06-30 09:27:02]  Successfully completed request
3825275 DEBUG [2019-06-30 09:27:02]  Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@517620cd
3826692 DEBUG [2019-06-30 09:27:04]  Bound request context to thread: org.apache.catalina.connector.RequestFacade@517620cd
